,Date,Open,High,Low,Close,Volume
0,2022-06-02,2645.0000,2732.0000,2635.6499,2724.5000,299786
1,2022-06-01,2632.3501,2654.9500,2616.1001,2632.2000,147783
2,2022-05-31,2646.0000,2678.7500,2615.8501,2633.8999,590084
3,2022-05-30,2619.8000,2673.0000,2594.8501,2663.7500,263592
4,2022-05-27,2596.9500,2605.5500,2539.3501,2575.2000,199303
5,2022-05-26,2618.0000,2633.8999,2547.7000,2587.4500,183889
6,2022-05-25,2632.3501,2655.8000,2601.8501,2611.1499,248030
7,2022-05-24,2624.0000,2637.8000,2598.0000,2616.0000,147965
8,2022-05-23,2630.0000,2653.7500,2592.9500,2605.9500,278346
9,2022-05-20,2515.0000,2643.0000,2503.0000,2622.1499,277207
10,2022-05-19,2470.0000,2511.0000,2466.4500,2479.2000,728658
11,2022-05-18,2539.0000,2570.0000,2508.3000,2538.8000,276653
12,2022-05-17,2443.0000,2540.3999,2435.0000,2530.7000,336675
13,2022-05-16,2432.0000,2480.7500,2416.4500,2427.3999,207222
14,2022-05-13,2432.0000,2478.0000,2416.0500,2428.0500,290185
15,2022-05-12,2419.0000,2440.0000,2370.0000,2400.9500,375949
16,2022-05-11,2478.7000,2485.0500,2421.8999,2449.7500,269992
17,2022-05-10,2499.0000,2525.2500,2459.0000,2473.2500,228368
18,2022-05-09,2575.0000,2597.2000,2507.1001,2517.1499,394528
19,2022-05-06,2640.7500,2659.5500,2594.6001,2621.1499,249708
20,2022-05-05,2721.0000,2729.6499,2632.0000,2640.7500,355466
21,2022-05-04,2785.0000,2785.1499,2675.8000,2693.1499,3251053
22,2022-05-02,2755.5000,2805.0000,2755.5000,2780.5500,244590
23,2022-04-29,2855.0000,2855.0000,2777.5500,2790.8000,202927
24,2022-04-28,2815.0000,2850.0000,2786.3000,2819.2000,264655
25,2022-04-27,2759.7000,2827.1001,2757.0000,2777.8999,389360
26,2022-04-26,2708.0000,2795.6499,2708.0000,2775.7000,240951
27,2022-04-25,2739.4500,2758.3501,2664.3999,2694.8501,208296
28,2022-04-22,2765.0500,2800.6499,2743.8501,2758.4500,314673
29,2022-04-21,2759.0000,2788.8000,2733.6499,2782.1499,280821
30,2022-04-20,2655.7500,2733.6499,2650.0000,2718.3999,458162
31,2022-04-19,2554.1001,2667.0000,2551.1001,2638.4500,545067
32,2022-04-18,2530.2500,2559.0500,2522.6001,2544.1499,215288
33,2022-04-13,2577.0000,2592.8999,2546.0000,2552.4500,156923
34,2022-04-12,2588.0000,2602.3999,2556.0000,2560.1499,213157
35,2022-04-11,2599.0000,2638.0000,2582.6499,2609.8000,209888
36,2022-04-08,2563.0000,2625.0000,2562.6001,2616.7500,265594
37,2022-04-07,2599.5000,2603.2500,2567.0000,2571.7500,244738
38,2022-04-06,2588.6499,2634.0500,2588.6001,2619.3501,146948
39,2022-04-05,2655.0000,2668.8501,2621.1499,2625.3999,112402
40,2022-04-04,2657.0000,2675.0000,2644.2500,2663.0500,137978
41,2022-04-01,2641.3000,2664.8000,2622.5000,2654.4500,84826
42,2022-03-31,2673.0000,2673.0000,2628.8999,2633.9500,188426
43,2022-03-30,2637.8999,2688.0000,2617.7500,2673.0000,154596
44,2022-03-29,2637.0000,2637.0000,2608.2000,2622.1499,128043
45,2022-03-28,2611.0000,2629.1499,2586.8999,2621.6499,342191
46,2022-03-25,2577.8999,2615.0000,2577.0000,2596.7000,195991
